Athlete_name,Adjusted_score,Season,tier
OUTTRIM Eliza - USA,3.2586009007394745,2010,1
ROBICHAUD Audrey - CAN,79.19585945298051,2010,1
DUFOUR LAPOINTE Maxime - CAN,83.7907853018428,2010,1
KLOSER Heidi - USA,77.7563811822435,2010,1
OUTTRIM Eliza - USA,89.9221727181731,2010,1
DUFOUR LAPOINTE Maxime - CAN,94.48979245850364,2010,1
KLOSER Heidi - USA,107.80626505443688,2010,1
BILODEAU Beatrice - CAN,14.409321713002244,2010,1
DUFOUR LAPOINTE Maxime - CAN,93.81405318743266,2010,1
KLOSER Heidi - USA,96.85270155954254,2010,1
ROBICHAUD Audrey - CAN,106.32827120105905,2010,1
ROBICHAUD Audrey - CAN,95.6654484046424,2010,1
OUTTRIM Eliza - USA,99.31553777024644,2010,1
DUFOUR LAPOINTE Maxime - CAN,96.26007832846203,2010,1
KLOSER Heidi - USA,47.86711325407613,2010,1
ROBICHAUD Audrey - CAN,104.74260391922195,2010,1
OUTTRIM Eliza - USA,110.97262274552322,2010,1
DUFOUR LAPOINTE Maxime - CAN,0.6526029535682585,2010,1
ROBICHAUD Audrey - CAN,92.41045958078239,2010,1
OUTTRIM Eliza - USA,30.635064363067144,2010,1
HENITIUK Chelsea - CAN,28.983739397691977,2010,1
ROBICHAUD Audrey - CAN,66.78408383941704,2010,1
DUFOUR LAPOINTE Maxime - CAN,73.91499887530094,2010,1
OUTTRIM Eliza - USA,109.54352269447396,2010,1
DUFOUR LAPOINTE Maxime - CAN,125.24458634992465,2010,1
ROBICHAUD Audrey - CAN,105.33150681636357,2010,1
OUTTRIM Eliza - USA,101.03196768869368,2010,1
OUTTRIM Eliza - USA,0.03399999594894042,2010,2
ROBICHAUD Audrey - CAN,1.0424575928224291,2010,2
BILODEAU Beatrice - CAN,6.25062582980674,2010,2
KLOSER Heidi - USA,45.1696473110331,2010,2
HENITIUK Chelsea - CAN,68.34186387109261,2010,2
OUTTRIM Eliza - USA,0.04392977783222846,2010,2
KLOSER Heidi - USA,0.23340765929984406,2010,2
ROBICHAUD Audrey - CAN,1.2267276827643845,2010,2
DUFOUR LAPOINTE Maxime - CAN,9.150785401222704,2010,2
BILODEAU Beatrice - CAN,54.585285563039115,2010,2
ROBICHAUD Audrey - CAN,0.01599277172495389,2010,2
OUTTRIM Eliza - USA,0.0013938133271391695,2010,2
BILODEAU Beatrice - CAN,0.0013703483012329734,2010,2
KLOSER Heidi - USA,30.54651559717465,2010,2
HENITIUK Chelsea - CAN,58.60927167587585,2010,2
HENITIUK Chelsea - CAN,0.19974124216895353,2010,2
HENITIUK Chelsea - CAN,56.7681108277543,2011,1
KLOSER Heidi - USA,68.88507783101223,2011,1
DUFOUR LAPOINTE Maxime - CAN,15.423219206650346,2011,1
DUFOUR LAPOINTE Maxime - CAN,13.546730910582616,2011,1
SNYDERMAN Kayla - USA,21.745779537622735,2011,1
DIGRAVIO Alison - USA,30.592601215633962,2011,1
KLOSER Heidi - USA,24.819498306960266,2011,1
DIGRAVIO Alison - USA,77.41516831628329,2011,1
LAWSON Alyssa - USA,1.616807285678758,2011,1
SNYDERMAN Kayla - USA,3.9128901212317357,2011,1
DUFOUR LAPOINTE Maxime - CAN,9.946302902159411,2011,1
HENITIUK Chelsea - CAN,6.903066553540846,2011,1
SNYDERMAN Kayla - USA,96.43188615798219,2011,1
KLOSER Heidi - USA,94.16889039263701,2011,1
HENITIUK Chelsea - CAN,103.51760001594928,2011,1
KLOSER Heidi - USA,50.14120615532031,2011,1
HENITIUK Chelsea - CAN,49.81845553995981,2011,1
DUFOUR LAPOINTE Maxime - CAN,48.76442701347722,2011,1
DUFRESNE Alexandra - CAN,49.25241977635869,2011,1
KLOSER Heidi - USA,5.543892865381567,2011,1
DUFOUR LAPOINTE Maxime - CAN,78.03888724557166,2011,1
KLOSER Heidi - USA,91.99229746207148,2011,1
HENITIUK Chelsea - CAN,113.17550866178037,2011,1
HENITIUK Chelsea - CAN,0.04392977783222846,2011,2
DUFRESNE Alexandra - CAN,1.4694495396966538,2011,2
DUFOUR LAPOINTE Maxime - CAN,67.6135560280948,2011,2
DIGRAVIO Alison - USA,16.352578862711084,2011,2
DUFOUR LAPOINTE Maxime - CAN,0.1227603694845289,2011,2
DIGRAVIO Alison - USA,0.17532748250879351,2011,2
LAWSON Alyssa - USA,79.46227891419572,2011,2
DUFRESNE Alexandra - CAN,53.0720803904751,2011,2
HENITIUK Chelsea - CAN,2.823374265283255,2011,2
DUFOUR LAPOINTE Maxime - CAN,8.909748174802317,2011,2
SNYDERMAN Kayla - USA,13.803112764188446,2011,2
DUFRESNE Alexandra - CAN,15.077792629235477,2011,2
KLOSER Heidi - USA,80.32311405536808,2011,2
LAWSON Alyssa - USA,97.24791451374291,2011,2
DIGRAVIO Alison - USA,105.0291765609582,2011,2
KLOSER Heidi - USA,24.855752125432595,2011,2
HENITIUK Chelsea - CAN,5.783330680156477,2011,2
DUFOUR LAPOINTE Maxime - CAN,3.3382197735895334,2011,2
DIGRAVIO Alison - USA,24.340807786895997,2011,2
DUFRESNE Alexandra - CAN,71.73497804721383,2011,2
SNYDERMAN Kayla - USA,74.55442354747032,2011,2
LAWSON Alyssa - USA,75.91285457601198,2011,2
DUFOUR LAPOINTE Maxime - CAN,0.19287076269510384,2011,2
DIGRAVIO Alison - USA,0.25672643661559974,2011,2
LAWSON Alyssa - USA,40.45141891461242,2011,2
DUFRESNE Alexandra - CAN,0.8555755359740597,2011,2
DIGRAVIO Alison - USA,1.282697835414951,2012,1
DUFRESNE Alexandra - CAN,102.275333361512,2012,1
KARIOTIS Ali - USA,97.25713296831552,2012,1
DIGRAVIO Alison - USA,24.750785001539633,2012,1
KARIOTIS Ali - USA,23.599323402965286,2012,1
BILODEAU Beatrice - CAN,86.19261408536545,2012,1
BILODEAU Beatrice - CAN,142.31298410868033,2012,1
DUFRESNE Alexandra - CAN,134.1254958100999,2012,1
BILODEAU Beatrice - CAN,101.37971993502154,2012,1
DUFRESNE Alexandra - CAN,100.6511328591507,2012,1
HAMEL Christel - CAN,95.89173372713681,2012,1
DIGRAVIO Alison - USA,33.90644817757539,2012,1
DUFRESNE Alexandra - CAN,46.01424284891856,2012,1
DUFRESNE Alexandra - CAN,0.6700547027054434,2012,1
KARIOTIS Ali - USA,9.064505619117696e-07,2012,2
HAMEL Christel - CAN,0.022543850744598935,2012,2
DIGRAVIO Alison - USA,11.507660795305922,2012,2
DIGRAVIO Alison - USA,0.000505304229127854,2012,2
DUFRESNE Alexandra - CAN,6.767871406107349e-05,2012,2
KARIOTIS Ali - USA,2.032375589053076e-05,2012,2
BILODEAU Beatrice - CAN,0.21542173767844047,2012,2
KARIOTIS Ali - USA,4.598010625383376,2012,2
DIGRAVIO Alison - USA,9.10532390001101e-48,2012,2
HAMEL Christel - CAN,0.004388672062686406,2012,2
KARIOTIS Ali - USA,0.5143706318848725,2012,2
DIGRAVIO Alison - USA,5.7456975958834295,2012,2
BILODEAU Beatrice - CAN,0.0586668488722597,2012,2
KARIOTIS Ali - USA,0.28116821013044724,2012,2
DUFRESNE Alexandra - CAN,0.28078662269008176,2012,2
HAMEL Christel - CAN,0.6311192285680126,2012,2
DIGRAVIO Alison - USA,48.445015096330586,2012,2
DIGRAVIO Alison - USA,2.0453827993779368,2012,2
HAMEL Christel - CAN,61.42790107894524,2012,2
HAMEL Christel - CAN,34.16147973708387,2013,1
ALBERT Kelsey - USA,19.845288685143924,2013,1
HAMEL Christel - CAN,55.76200807851929,2013,1
HAMEL Christel - CAN,89.60283178925202,2013,2
ALBERT Kelsey - USA,101.68707441648377,2013,2
ALBERT Kelsey - USA,17.54948017343789,2013,2
ALBERT Kelsey - USA,0.0010964036258327638,2013,2
HAMEL Christel - CAN,0.05552439196171984,2013,2
ITO Satsuki - JPN,62.217202808159506,2014,1
HAMEL Christel - CAN,91.6636033902136,2014,1
MCCARGO Keaton - USA,117.56991647934144,2014,1
SCHWARTZ Sophia - USA,6.190184142266976,2014,1
MCCARGO Keaton - USA,0.4274806709651278,2014,1
HAMEL Christel - CAN,18.728731595882646,2014,1
SCHWARTZ Sophia - USA,36.837835786823405,2014,1
MCCARGO Keaton - USA,114.0703566901872,2014,1
SCHWARTZ Sophia - USA,0.015178928940302407,2014,1
HAMEL Christel - CAN,0.045801909876641206,2014,1
ITO Satsuki - JPN,11.131898946639891,2014,1
HATADA Moka - JPN,7.563934229529359,2014,1
MCCARGO Keaton - USA,6.410830184244607,2014,1
HAMEL Christel - CAN,121.17446484933018,2014,1
SCHWARTZ Sophia - USA,40.60100144281066,2014,1
HAMEL Christel - CAN,46.859295043192304,2014,1
MCCARGO Keaton - USA,0.2691910888549374,2014,2
ITO Satsuki - JPN,0.10638454181103435,2014,2
SCHWARTZ Sophia - USA,18.725501501707722,2014,2
MCCARGO Keaton - USA,23.829599153325223,2014,2
HAMEL Christel - CAN,-0.054046985650916486,2014,2
MCCARGO Keaton - USA,0.0032272615029626367,2014,2
HAMEL Christel - CAN,19.712631060888576,2014,2
ITO Satsuki - JPN,19.931420779404636,2014,2
HATADA Moka - JPN,50.21753007672305,2014,2
HAMEL Christel - CAN,1.0694890686151544,2014,2
SCHILD Morgan - USA,17.922972972056012,2015,1
GAGNON Alex Anne - CAN,23.831284294749608,2015,1
HAMEL Christel - CAN,53.52458364963041,2015,1
KARIOTIS Ali - USA,69.35529699987543,2015,1
SCHILD Morgan - USA,80.63074175212904,2015,1
KARIOTIS Ali - USA,111.18873119070372,2015,1
DZIEMIAN Nessa - USA,125.4347674013928,2015,1
HIMBURY Madii - AUS,125.01312010635739,2015,1
KARIOTIS Ali - USA,134.46179222163474,2015,1
LAMBERT Clare - CAN,130.83265728717998,2015,1
GAGNON Alex Anne - CAN,49.60900285968546,2015,1
HAMEL Christel - CAN,59.694308713671184,2015,1
BERGERON Julie - CAN,110.8774173192083,2015,1
LEUNG Kiera - CAN,100.15716352988102,2015,1
KARIOTIS Ali - USA,90.45112064009534,2015,1
DZIEMIAN Nessa - USA,62.18142049040549,2015,1
SCHILD Morgan - USA,95.66459731946138,2015,1
STOLTZNER Lane - USA,97.38935006364473,2015,1
HAMEL Christel - CAN,123.88122771186423,2015,1
KARIOTIS Ali - USA,121.7212765973998,2015,1
STOLTZNER Lane - USA,0.018549749130654502,2015,2
DZIEMIAN Nessa - USA,0.11269655866918596,2015,2
LAMBERT Clare - CAN,1.8763449044846428,2015,2
LEUNG Kiera - CAN,0.23672668281431045,2015,2
BERGERON Julie - CAN,0.2989448276664576,2015,2
HIMBURY Madii - AUS,1.3232380110450206,2015,2
DZIEMIAN Nessa - USA,1.4881136214878803e-06,2015,2
GAGNON Alex Anne - CAN,2.5341961823504163e-05,2015,2
STOLTZNER Lane - USA,0.000266513401424006,2015,2
HAMEL Christel - CAN,0.0038424356030518038,2015,2
LAMBERT Clare - CAN,0.0019878982251206787,2015,2
BERGERON Julie - CAN,0.004920996385802165,2015,2
HIMBURY Madii - AUS,0.8262717913109643,2015,2
SCHILD Morgan - USA,0.8884864304178491,2015,2
DZIEMIAN Nessa - USA,1.6941609232319368,2015,2
KARIOTIS Ali - USA,6.0975686851775315,2015,2
HIMBURY Madii - AUS,3.3995838302312724,2015,2
STOLTZNER Lane - USA,13.028247092821058,2015,2
HAMEL Christel - CAN,52.32470433235583,2015,2
BERGERON Julie - CAN,54.642273124655915,2015,2
GAGNON Alex Anne - CAN,56.354177300561965,2015,2
LAMBERT Clare - CAN,75.53421499580173,2015,2
DZIEMIAN Nessa - USA,0.2500472161319491,2015,2
SCHILD Morgan - USA,0.028242187719661076,2015,2
STOLTZNER Lane - USA,0.24624479486305675,2015,2
HIMBURY Madii - AUS,0.25381790428827744,2015,2
BERGERON Julie - CAN,0.24469430273666823,2015,2
LAMBERT Clare - CAN,0.36541030220711834,2015,2
GAGNON Alex Anne - CAN,1.4847096838987621,2015,2
SCHWARTZ Sophia - USA,110.23588253417665,2016,1
BERGERON Julie - CAN,108.10359995669944,2016,1
BERGERON Julie - CAN,116.47640967971917,2016,1
BERGERON Julie - CAN,0.2236032518359304,2016,2
SCHWARTZ Sophia - USA,0.04601289076187244,2016,2
SCHWARTZ Sophia - USA,1.6169902026303102,2016,2
BERGERON Julie - CAN,2.600191420445748,2016,2
BERGERON Julie - CAN,36.70926860773976,2016,2
SCHWARTZ Sophia - USA,7.800192420323279,2016,2
BERGERON Julie - CAN,0.39915233657469135,2016,2
SCHWARTZ Sophia - USA,58.427943063780724,2016,2
SOAR Hannah - USA,36.31987256906292,2017,1
SOAR Hannah - USA,0.3515854351575947,2017,2
SOAR Hannah - USA,19.48262825021125,2017,2
SOAR Hannah - USA,0.1373185344874169,2017,2
ROBICHAUD Audrey - CAN,0.7602754397011727,2018,1
GAGNON Alex Anne - CAN,52.321788979788565,2018,1
GIACCIO Olivia - USA,61.76231682553966,2018,1
AMUNDSEN Aurora - NOR,86.32276904360229,2018,1
GULLACHSEN Kristine - NOR,7.152970209156218,2018,1
ROBICHAUD Audrey - CAN,111.347441644654,2018,1
GAGNON Alex Anne - CAN,110.55877830762856,2018,1
GILBERT Valerie - CAN,115.4019870886227,2018,1
BROWN Berkley - CAN,149.11033961707258,2018,1
ROBICHAUD Audrey - CAN,65.55583427795369,2018,1
GIACCIO Olivia - USA,98.6392134234957,2018,1
ROBICHAUD Audrey - CAN,109.94455734177814,2018,1
GAGNON Alex Anne - CAN,135.77245105389295,2018,1
GIACCIO Olivia - USA,44.470322926669645,2018,1
ROBICHAUD Audrey - CAN,78.53670342550595,2018,1
GILBERT Valerie - CAN,123.36935051262273,2018,1
GAGNON Alex Anne - CAN,121.08444594443951,2018,1
ROBICHAUD Audrey - CAN,36.98794660397112,2018,1
SHIMKO Avital - USA,76.09361311009155,2018,1
GIACCIO Olivia - USA,69.38734435537766,2018,1
ROBICHAUD Audrey - CAN,111.18650046182545,2018,1
ROBICHAUD Audrey - CAN,92.84839149096209,2018,1
GIACCIO Olivia - USA,120.3191185236231,2018,1
SHIMKO Avital - USA,8.25274630488694,2018,2
SCHWINGHAMER Mackenzie - CAN,15.81146518373733,2018,2
BROWN Berkley - CAN,25.62414170548562,2018,2
DESMARAIS GILBERT Laurianne - CAN,70.66049603706551,2018,2
GAGNON Sofiane - CAN,59.00575379246302,2018,2
GULLACHSEN Kristine - NOR,30.929398103875062,2018,2
TODD Kassidy - CAN,131.99800868496226,2018,2
AMUNDSEN Aurora - NOR,131.92937660991208,2018,2
KAJIWARA Yuki - JPN,128.00086032590883,2018,2
MARKLE Searik - CAN,126.21346008479955,2018,2
SHIMKO Avital - USA,0.003739126058588702,2018,2
SCHWINGHAMMER Maia - CAN,0.030286584400363397,2018,2
GAGNON Sofiane - CAN,0.32906164826311474,2018,2
KAJIWARA Yuki - JPN,0.105894290580112,2018,2
MARKLE Searik - CAN,15.256271685108903,2018,2
SCHWINGHAMER Mackenzie - CAN,25.744613505656122,2018,2
BROWN Berkley - CAN,4.462963692737935,2018,2
GIACCIO Olivia - USA,8.62524823434422,2018,2
GILBERT Valerie - CAN,81.3445649654476,2018,2
GULLACHSEN Kristine - NOR,75.71850926341635,2018,2
GILBERT Valerie - CAN,1.9913774582330261,2018,2
SHIMKO Avital - USA,6.656840742149976,2018,2
GAGNON Sofiane - CAN,1.294046650045771,2018,2
DESMARAIS GILBERT Laurianne - CAN,0.09673772785681152,2018,2
MARKLE Searik - CAN,0.3386680388729222,2018,2
NISHITA Reika - JPN,0.9976706326980549,2018,2
FUKUSHIMA Shunka - JPN,3.4385749170334328,2018,2
DELSAME Florence - CAN,18.682327830346942,2018,2
GULLACHSEN Kristine - NOR,18.15107878475626,2018,2
MARKLE Searik - CAN,0.0019102240123402441,2018,3
SCHWINGHAMER Mackenzie - CAN,0.008999701759052573,2018,3
SCHWINGHAMMER Maia - CAN,0.12541313906448096,2018,3
TODD Kassidy - CAN,2.7537385460184547e-05,2018,3
DELSAME Florence - CAN,11.14260490328889,2018,3
DELSAME Florence - CAN,0.004022215784484972,2018,3
SCHWINGHAMER Mackenzie - CAN,34.46708971004449,2018,3
ROBICHAUD Audrey - CAN,1.4074371574023934,2018,3
BROWN Berkley - CAN,1.8691415862821934,2018,3
GILBERT Valerie - CAN,1.3851530544980044,2018,3
GAGNON Alex Anne - CAN,1.7187245908612958,2018,3
SCHWINGHAMMER Maia - CAN,7.850231052322608,2018,3
GAGNON Sofiane - CAN,51.726082362261444,2018,3
DESMARAIS GILBERT Laurianne - CAN,50.4066353768083,2018,3
MARKLE Searik - CAN,38.87333476431159,2018,3
TODD Kassidy - CAN,55.37057450314328,2018,3
DELSAME Florence - CAN,92.12003827726438,2018,3
GAGNON Sofiane - CAN,0.0036846287464621106,2018,3
KAJIWARA Yuki - JPN,0.0014260172777031805,2018,3
BROWN Berkley - CAN,0.01566262844681303,2018,3
NISHITA Reika - JPN,0.027017981998472253,2018,3
SCHWINGHAMER Mackenzie - CAN,2.4445251901056024,2018,3
MARKLE Searik - CAN,35.062920140628634,2018,3
DESMARAIS GILBERT Laurianne - CAN,31.790337163711857,2018,3
TODD Kassidy - CAN,42.17594240070113,2018,3
FUKUSHIMA Shunka - JPN,65.71991870630119,2018,3
SCHWINGHAMMER Maia - CAN,74.82606632748167,2018,3
DELSAME Florence - CAN,70.55315677650653,2018,3
SCHWINGHAMER Mackenzie - CAN,2.7994045951702557,2018,3
DESMARAIS GILBERT Laurianne - CAN,0.014503886474063577,2018,3
DELSAME Florence - CAN,0.1650573202262159,2018,3
GAGNON Sofiane - CAN,3.248582686505676e-09,2018,3
GILBERT Valerie - CAN,6.994407319535913e-09,2018,3
SCHWINGHAMER Mackenzie - CAN,6.640361472300093e-07,2018,3
KAJIWARA Yuki - JPN,12.569018612501555,2018,3
SCHWINGHAMMER Maia - CAN,13.61735359442799,2018,3
DELSAME Florence - CAN,13.430319314398044,2018,3
NISHITA Reika - JPN,17.038908631925334,2018,3
TODD Kassidy - CAN,29.91313386336964,2018,3
FUKUSHIMA Shunka - JPN,41.142734705672694,2018,3
DESMARAIS GILBERT Laurianne - CAN,41.82741581727938,2018,3
SCHWINGHAMMER Maia - CAN,90.66724840883361,2019,1
GUELI Claudia - AUS,74.40587125317472,2019,1
ITO Miki - JPN,107.83585811055369,2019,1
ONEILL Taylah - AUS,55.46679017957869,2019,1
ASH Sophie - AUS,59.12264402607088,2019,1
ONEILL Taylah - AUS,21.94468675021986,2019,1
SCHWINGHAMMER Maia - CAN,83.70893800822721,2019,1
ONEILL Taylah - AUS,97.27718854322033,2019,1
DESMARAIS GILBERT Laurianne - CAN,95.77759145283501,2019,1
ASH Sophie - AUS,94.8374554123387,2019,1
ONEILL Taylah - AUS,0.06435454361229032,2019,2
ASH Sophie - AUS,0.051151039109581464,2019,2
SCHWINGHAMER Mackenzie - CAN,0.06352044662710377,2019,2
GUELI Claudia - AUS,0.9613044846230906,2019,2
DESMARAIS GILBERT Laurianne - CAN,3.5552768328239215,2019,2
ONEILL Taylah - AUS,5.092412866981739,2019,2
SCHWINGHAMER Mackenzie - CAN,5.300439271831761,2019,2
KOEHLER Kaylee - CAN,47.21727925285677,2019,2
GUELI Claudia - AUS,47.72518409872595,2019,2
DESMARAIS GILBERT Laurianne - CAN,53.0787018253648,2019,2
DELSAME Florence - CAN,74.97366701303801,2019,2
LINTON Jessica - CAN,113.1543346321995,2019,2
BERGEVIN Mikela - CAN,111.24432527527537,2019,2
KOEHLER Kaylee - CAN,1.3974319028054035e-09,2019,3
LINTON Jessica - CAN,0.2775552148560347,2019,3
SCHWINGHAMMER Maia - CAN,0.005670011923568751,2019,3
ITO Miki - JPN,0.021505042752244248,2019,3
DELSAME Florence - CAN,8.094838805986042e-05,2019,3
BERGEVIN Mikela - CAN,16.1617639240011,2019,3
SCHWINGHAMER Mackenzie - CAN,18.38894238991417,2019,3
DESMARAIS GILBERT Laurianne - CAN,18.724259773080444,2019,3
KOEHLER Kaylee - CAN,22.532645947879406,2019,3
LINTON Jessica - CAN,2.712931676487337,2019,3
KOEHLER Kaylee - CAN,7.553223679763522e-07,2019,3
LINTON Jessica - CAN,7.639781798790865e-09,2019,3
SCHWINGHAMER Mackenzie - CAN,0.0001731360598358975,2019,3
KOEHLER Kaylee - CAN,0.013502818896515886,2019,3
LINTON Jessica - CAN,5.13124780761003e-07,2019,3
